Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number
Aetna Health Inc. (NY),95234,2025 - AHIC SG 2025 Rider,H16G.003H Small Group Only - EPO,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134367188,1
Aetna Health Inc. (NY),95234,2025 - AHICNY SG Annual Filings,H15G.003 Small Group Only,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134098210,1
Aetna Health Inc. (NY),95234,2025 - AHICNY SG Annual Filings - Net Ad Rider,H15G.003 Small Group Only,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134558323,1
Aetna Health Insurance Company of New York,84450,2020 - LG NY AHIC EPO,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-132321426,1
Aetna Health Insurance Company of New York,84450,2020 51-100 Paper Apps & Enrollment Filing Project,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132780486,1
Aetna Health Insurance Company of New York,84450,2020 SG AHIC OFF Disclosures,H15G.003 Small Group Only,Filed for Reference,Closed - FIREF Filed for Reference Purposes,AETN-132162933,1
Aetna Health Insurance Company of New York,84450,2020 SG Paper application/enrollment,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132191008,1
Aetna Health Insurance Company of New York,84450,2021 - AHIC LG/SG - No Surprises Act,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133078311,1
Aetna Health Insurance Company of New York,84450,2021 - LG NY AHIC EPO,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-132964668,1
Aetna Health Insurance Company of New York,84450,2021 SG AHIC of New York OFF,H16G.003H Small Group Only - EPO,2021 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132384887,1
Aetna Health Insurance Company of New York,84450,2022 Large Group Master Application Filing,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-133080498,1
Aetna Health Insurance Company of New York,84450,2022 SG AHIC of New York OFF,H16G.003H Small Group Only - EPO,2022 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132807540,1
Aetna Health Insurance Company of New York,84450,2022 SG Paper application/enrollment,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132777688,1
Aetna Health Insurance Company of New York,84450,2022_2023 AHICNY LG Travel & Lodging Rider,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-133370998,1
Aetna Health Insurance Company of New York,84450,2023 - AHICNY LG MCL updates,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-133320040,1
Aetna Health Insurance Company of New York,84450,2023 PY Large Group Master Application,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-133473972,1
Aetna Health Insurance Company of New York,84450,2023 SG AHIC off,H15G.003 Small Group Only,2023 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133257251,1
Aetna Health Insurance Company of New York,84450,2024 - AHICNY LG MCL updates,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-133732437,1
Aetna Health Insurance Company of New York,84450,2024 - AHICNY SG Annual filing,H15G.003 Small Group Only,2024 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133692410,1
Aetna Health Insurance Company of New York,84450,2024 PY SG App/Enroll,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133681142,1
Aetna Health Insurance Company of New York,84450,2025 - AHIC LG Network Adequacy Rider,H16G.002A Large Group Only - PPO,Normal Pre-Approval,Closed - APPR Approved,AETN-134574743,1
Aetna Health Insurance Company of New York,84450,2025 - AHICNY LG Annual MCL Updates,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-134262470,1
Aetna Health Insurance Company of New York,84450,2025 PY Large Group Master App,H16G.002D Large Group Only - EPO,Normal Pre-Approval,Closed - APPR Approved,AETN-134382265,1
Aetna Health Insurance Company of New York,84450,2026 - AHICNY SG Annual Filing,H15G.003 Small Group Only,2026 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134503049,1
Aetna Health Insurance Company of New York,84450,New York SG AHIC 2020 Rate & Form Filing,H16G.003H Small Group Only - EPO,Off Exchange NG Forms & Rates,Closed - APPR Approved,AETN-131925782,1
Aetna Life Insurance Company,60054,20/21 SH Dental,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-132103642,1
Aetna Life Insurance Company,60054,20/21 SH PPO & EPO Medical,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-132101570,1
Aetna Life Insurance Company,60054,20/21 SH Vision,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-132316195,1
Aetna Life Insurance Company,60054,2017 Annual Filing – ALIC Plain Language,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-131775596,1
Aetna Life Insurance Company,60054,2018 - NY SH UR rider for SA,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-131658670,1
Aetna Life Insurance Company,60054,2018 - SCF - Practicing Law Institute,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,AETN-131473971,1
Aetna Life Insurance Company,60054,2018 - SCF - Pret A Manger,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-131700872,1
Aetna Life Insurance Company,60054,2018 LG Apps Filing Project,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-131556076,1
Aetna Life Insurance Company,60054,2018 Part D EGWP Supplemental Benefits,H17G.000 Health - Prescription Drug,Normal Pre-Approval,Closed - APPR Approved,AETN-131287859,1
Aetna Life Insurance Company,60054,2018 SCF - Fashion Institute of Technology,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-131684230,1
Aetna Life Insurance Company,60054,2018 SCF - Northeast District Council of the OPCMIA Welfare Fund,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,AETN-131734743,1
Aetna Life Insurance Company,60054,2018 SH PL,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-131393342,1
Aetna Life Insurance Company,60054,2018-SCF-City of Yonkers,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,AETN-131697721,1
Aetna Life Insurance Company,60054,2019 IVL ALIC OFF,H16I.005C Individual - Other,2019 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131476526,1
Aetna Life Insurance Company,60054,2019 IVL ALIC OFF Application Forms,H16I.005C Individual - Other,2019 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131501263,1
Aetna Life Insurance Company,60054,2019 LG Aon Hewitt Online Enrollment,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-131610474,1
Aetna Life Insurance Company,60054,2019 Part D EGWP,H17G.000 Health - Prescription Drug,Normal Pre-Approval,Closed - APPR Approved,AETN-131683086,1
Aetna Life Insurance Company,60054,2019 SG ALIC OFF,H15G.003 Small Group Only,2019 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131476515,1
Aetna Life Insurance Company,60054,2019 SG ALIC OFF Disclosures,H15G.003 Small Group Only,Filed for Reference,Closed - FIREF Filed for Reference Purposes,AETN-131630248,1
Aetna Life Insurance Company,60054,2019-2020 Student Health Filing,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-131787382,1
Aetna Life Insurance Company,60054,2019/2020 Student Health Dental Filing Project,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-131797969,1
Aetna Life Insurance Company,60054,2019/2020 Student Health Vision Filing Project,H20G.000 Health - Vision,Normal Pre-Approval,Closed - APPR Approved,AETN-131806116,1
Aetna Life Insurance Company,60054,2020 - ALIC LG Pre-enrollment Disclosure,H16G.002C Large Group Only - Other,Filed for Reference,Closed - FIREF Filed for Reference Purposes,AETN-132426086,1
Aetna Life Insurance Company,60054,2020 - LG NY Wellness Rider,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132324328,1
Aetna Life Insurance Company,60054,2020 51-100 Paper Apps & Enrollment Filing Project,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132778530,1
Aetna Life Insurance Company,60054,2020 Group Vision Amendment,H20G.000 Health - Vision,Normal Pre-Approval,Closed - APPR Approved,AETN-132082643,1
Aetna Life Insurance Company,60054,2020 IVL ALIC OFF,H16I.005C Individual - Other,2020 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131947139,1
Aetna Life Insurance Company,60054,2020 IVL Dental PPO,H10I.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-132338328,1
Aetna Life Insurance Company,60054,2020 SG ALIC OFF,H15G.003 Small Group Only,2020 Off Exchange Medical Forms,Closed - APPR Approved,AETN-131947152,1
Aetna Life Insurance Company,60054,2020 SG Paper application/enrollment,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132023614,1
Aetna Life Insurance Company,60054,2020 SG Paper application/enrollment,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132191009,1
Aetna Life Insurance Company,60054,2021 - ALIC IVL - No Surprises Act,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133078298,1
Aetna Life Insurance Company,60054,2021 - ALIC LG/SG - No Surprises Act,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133078296,1
Aetna Life Insurance Company,60054,2021 - Dental DMO & PPO Cost-Sharing Corrections,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-133041923,1
Aetna Life Insurance Company,60054,2021 - SCF - AIG - Eligibility,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-132860099,1
Aetna Life Insurance Company,60054,2021 Group Dental Annual Filing,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-132627291,1
Aetna Life Insurance Company,60054,2021 IVL ALIC OFF,H16I.005C Individual - Other,2021 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132384779,1
Aetna Life Insurance Company,60054,2021 IVL Dental Online Enroll Refile,H10I.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-132686308,1
Aetna Life Insurance Company,60054,2021 Large Group Medical Annual Filing,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132339077,1
Aetna Life Insurance Company,60054,2021 Large Group Medical Annual Filing,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132338461,1
Aetna Life Insurance Company,60054,2021 SG ALIC OFF,H15G.003 Small Group Only,2021 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132384836,1
Aetna Life Insurance Company,60054,2022 - ALIC - LG - Allowed Amount,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133228312,2
Aetna Life Insurance Company,60054,2022 - LG - ALIC - Attain,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133228491,2
Aetna Life Insurance Company,60054,2022 - LG - ALIC - Gene Therapy Rider,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133232677,2
Aetna Life Insurance Company,60054,2022 - LG - Corrections to Approval,H16G.002C Large Group Only - Other,Certification by Previously Approved Form,Closed - APPR Approved,AETN-133177710,2
Aetna Life Insurance Company,60054,2022 - SCF - AIG,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-133174431,2
Aetna Life Insurance Company,60054,2022 - SCF - Teachers' Association of Lindenhurst,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-133182452,2
Aetna Life Insurance Company,60054,2022 - SCF - Wycoff Heights Medical Center,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-133394903,2
Aetna Life Insurance Company,60054,2022 - SH - Dental PPO & DMO,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133105402,2
Aetna Life Insurance Company,60054,2022 IVL ALIC OFF,H16I.005C Individual - Other,2022 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132827627,2
Aetna Life Insurance Company,60054,2022 IVL Paper Apps-Enroll #202290,H16I.005C Individual - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132777745,2
Aetna Life Insurance Company,60054,2022 Large Group Master Application Filing,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133080499,2
Aetna Life Insurance Company,60054,2022 SG ALIC OFF,H15G.003 Small Group Only,2022 Off Exchange Medical Forms,Closed - APPR Approved,AETN-132807573,2
Aetna Life Insurance Company,60054,2022 SG Paper application/enrollment,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-132777640,2
Aetna Life Insurance Company,60054,2022-2023 ALIC SH Travel & Lodging Rider,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133381378,2
Aetna Life Insurance Company,60054,2022_2023 ALIC LG Travel & Lodging Rider,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133370978,2
Aetna Life Insurance Company,60054,2023 - ALIC LG Non-MCL Riders,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133353300,2
Aetna Life Insurance Company,60054,2023 - PY Group Dental,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-133433151,2
Aetna Life Insurance Company,60054,2023 - SCF - MasterCard Inc - ALIC DMO,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-133866368,2
Aetna Life Insurance Company,60054,2023 IVL ALIC OFF,H16I.005D Individual - EPO,2023 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133257269,2
Aetna Life Insurance Company,60054,2023 PY Large Group Master Application,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133473971,2
Aetna Life Insurance Company,60054,2023 PY SG Paper App/Enroll,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133223319,2
Aetna Life Insurance Company,60054,2023 SG ALIC off,H15G.003 Small Group Only,2023 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133238345,2
Aetna Life Insurance Company,60054,2024 - ALIC IFP - Vision,H20I.000 Health - Vision,Normal Pre-Approval,Closed - APPR Approved,AETN-134024039,2
Aetna Life Insurance Company,60054,2024 - ALIC LG Medical,H16G.002A Large Group Only - PPO,Normal Pre-Approval,Closed - APPR Approved,AETN-133728918,2
Aetna Life Insurance Company,60054,2024 - ALIC SG Annual Filing,H15G.003 Small Group Only,2024 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133688425,2
Aetna Life Insurance Company,60054,2024 - Individual Annual Filing,H16I.005D Individual - EPO,2024 Off Exchange Medical Forms,Closed - APPR Approved,AETN-133694137,2
Aetna Life Insurance Company,60054,2024 - LG ALIC Non-MCL Riders,H16G.002A Large Group Only - PPO,Normal Pre-Approval,Closed - APPR Approved,AETN-133735533,2
Aetna Life Insurance Company,60054,2024 - PY Group Dental,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-134293184,2
Aetna Life Insurance Company,60054,2024 - SCF - Hughes Hubbard and Reed LLP,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-134027903,2
Aetna Life Insurance Company,60054,2024 - SCF - Pace University,H16G.002A Large Group Only - PPO,Normal Pre-Approval,Closed - APPR Approved,AETN-134010008,2
Aetna Life Insurance Company,60054,2024 - Vision Filing,H20G.000 Health - Vision,Normal Pre-Approval,Closed - APPR Approved,AETN-133772054,2
Aetna Life Insurance Company,60054,2024 PY SG App/Enroll,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-133681160,2
Aetna Life Insurance Company,60054,2025 - ALIC IVL 2025 Rider,H16I.005D Individual - EPO,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134366704,2
Aetna Life Insurance Company,60054,2025 - ALIC LG Medical Network Adequacy,H16G.002A Large Group Only - PPO,Normal Pre-Approval,Closed - APPR Approved,AETN-134574844,2
Aetna Life Insurance Company,60054,2025 - ALIC LG Medical-MOD Correction,H16G.002A Large Group Only - PPO,Normal Pre-Approval,Closed - APPR Approved,AETN-134623930,2
Aetna Life Insurance Company,60054,2025 - ALIC LG Non-MCL Riders,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-134260621,2
Aetna Life Insurance Company,60054,2025 - ALIC SG 2025 Rider,H16G.003H Small Group Only - EPO,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134367075,2
Aetna Life Insurance Company,60054,2025 - ALIC SG Annual Filing,H15G.003 Small Group Only,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134098858,2
Aetna Life Insurance Company,60054,2025 - ALIC SG Annual Filing - Net Ad Rider,H15G.003 Small Group Only,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134558330,2
Aetna Life Insurance Company,60054,2025 - Individual Annual Filing,H16I.005D Individual - EPO,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134123753,2
Aetna Life Insurance Company,60054,2025 - Individual Annual Filing - Net Ad Rider,H16I.005D Individual - EPO,2025 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134558298,2
Aetna Life Insurance Company,60054,2025 PY Large Group Master Application,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,AETN-134382276,2
Aetna Life Insurance Company,60054,2025-2026 SH Apps Enroll,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-134399512,2
Aetna Life Insurance Company,60054,2026 - ALIC SG Annual Filing,H15G.003 Small Group Only,2026 Off Exchange Medical Forms,Closed - APPR Approved,AETN-134503025,2
Aetna Life Insurance Company,60054,21/22 SH Dental,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-132553573,2
Aetna Life Insurance Company,60054,21/22 SH PPO & EPO Medical,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-132553147,2
Aetna Life Insurance Company,60054,21/22 SH Vision,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-132553535,2
Aetna Life Insurance Company,60054,22/23 SH PPO & EPO Medical,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133010288,2
Aetna Life Insurance Company,60054,22/23 SH Vision (Model Language Updates),H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133010367,2
Aetna Life Insurance Company,60054,23-24 - SH Dental PPO & DMO,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133533942,2
Aetna Life Insurance Company,60054,23/24 SH PPO & EPO Medical,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133557404,2
Aetna Life Insurance Company,60054,23/24 SH Vision,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133560877,2
Aetna Life Insurance Company,60054,24-25 NY SH Enrollment Form,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-134137945,2
Aetna Life Insurance Company,60054,24/25 SH DENTAL,H22.000 Student Health Insurance,Certification by Previously Approved Form,Closed - APPR Approved,AETN-133965152,2
Aetna Life Insurance Company,60054,24/25 SH PPO & EPO MEDICAL,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-133955506,2
Aetna Life Insurance Company,60054,24/25 SH VISION,H22.000 Student Health Insurance,Certification by Previously Approved Form,Closed - APPR Approved,AETN-133970052,2
Aetna Life Insurance Company,60054,25-26 PY ALIC SH,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-134427008,2
Aetna Life Insurance Company,60054,25-26 PY ALIC SH Enrollment,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-134433732,2
Aetna Life Insurance Company,60054,ACC 2.0,H02G.000 Health - Accident Only,Normal Pre-Approval,Closed - APPR Approved,AETN-131815865,2
Aetna Life Insurance Company,60054,ALIC Standalone Dental Rewrite,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-131626071,2
Aetna Life Insurance Company,60054,CI 2.0,H07G.001 Critical Illness,Normal Pre-Approval,Closed - APPR Approved,AETN-133064524,2
Aetna Life Insurance Company,60054,Group LTD,H11G.003 Long Term,Normal Pre-Approval,Closed - APPR Approved,AETN-131352177,2
Aetna Life Insurance Company,60054,Group STD SCF Momementive Performance Materials 107519 0118,H11G.002 Short Term,Normal Pre-Approval,Closed - APPR Approved,AETN-131376957,2
Aetna Life Insurance Company,60054,IVL ALIC OFF Disclosure,H16I.005C Individual - Other,Filed for Reference,Closed - APPR Approved,AETN-131363706,2
Aetna Life Insurance Company,60054,Name change (Katerina Guerraz),H21.000 Health - Other,Filed for Reference,Closed - FIREF Filed for Reference Purposes,AETN-134224085,2
Aetna Life Insurance Company,60054,NY ALIC 2021 SG UW Guidelines,H16G.003G Small Group Only - Other,Underwriting Guidelines,Closed - FIREF Filed for Reference Purposes,AETN-132548299,2
Aetna Life Insurance Company,60054,NY Group Dental - TMJ Amendment,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,AETN-131804470,2
Aetna Life Insurance Company,60054,NY PFL Standalone & Rider 2019 Filing,Statutory Disability Benefits Law Coverage,Normal Pre-Approval,Closed - APPR Approved,AETN-131664021,2
Aetna Life Insurance Company,60054,NY PFL Standalone & Rider 2020 Filing,Statutory Disability Benefits Law Coverage,Normal Pre-Approval,Closed - APPR Approved,AETN-132098049,2
Aetna Life Insurance Company,60054,SCF - 2018- Clifford Chance US LLP,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,AETN-131490806,2
Aetna Life Insurance Company,60054,SH Dental Standalone Policy,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-131377109,2
Aetna Life Insurance Company,60054,Studen Health ML Vision,H22.000 Student Health Insurance,Normal Pre-Approval,Closed - APPR Approved,AETN-134402148,2
