Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number,serf_num,state,page_url,form,auth_url,form_name,submission_date,flesch_reading_ease
AAA Life Insurance Company,71854.0,GA80081 et al,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125531758,1,125531758,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125531758,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,Group Personal Accident Insurance,H02G.000 Health - Accident Only,Form,Closed - Approved,USPH-65FFKB285/00-00/00-00/00,1,65FFKB285/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=65FFKB285/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,Hospital Indemnity Riders,H14I.000 Health - Hospital Indemnity,Form/Rate,Closed - Approved,PYMT-126493376,1,126493376,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126493376,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA 2010 Act Memo Revision,H02G.000 Health - Accident Only,Form,Closed - Filed,AAAL-126767556,1,126767556,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126767556,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA 24 Reprice,H02G.000 Health - Accident Only,Form,Closed - Filed,AAAL-134077107,1,134077107,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134077107,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA Endorsement,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125152030,1,125152030,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125152030,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA Endorsements 2013,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-128860229,1,128860229,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128860229,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA Endorsements 2016,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-130298925,1,130298925,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130298925,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA-08,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-125559064,1,125559064,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125559064,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA-08 2010 Riders/Ultra,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-126735148,1,126735148,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126735148,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,MLTA-08 2010 Riders/Ultra,H03G.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,AAAL-126597874,1,126597874,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126597874,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,New Benefit Levels for Member Loyalty Travel Accident Insurance,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-129207928,1,129207928,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129207928,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,NOTICE OF PREMIUM INCREASE,H21.000 Health - Other,Form,Closed - Approved,PYMT-126337960,1,126337960,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126337960,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,PAI,Group Health - Accident/Sickness,Form,Closed - Filed,USPH-648R8N136/00-00/00-00/00,1,648R8N136/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=648R8N136/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
AAA Life Insurance Company,71854.0,Personal Accident Insurance,H02G.000 Health - Accident Only,Form,Closed - Approved,AAAL-125502935,1,125502935,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125502935,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
Ability Insurance Company,71471.0,SD Reinstatement Application Ability,H21.000 Health - Other,Form,Closed - Approved,MDTP-126281192,1,126281192,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126281192,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Amendment - AH-15092-CISCMI,H21.000 Health - Other,Form,Closed - Approved,ACEH-126610716,1,126610716,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126610716,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Association Approval,H21.000 Health - Other,Form,Closed - Disapproved,ACEH-125646851,1,125646851,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125646851,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket - Addl Benefits Amend - Trip Travel,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-126011074,1,126011074,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126011074,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket A&S - Chaperone / Emerg Reunion,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-127890524,1,127890524,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127890524,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident & Blanket GLM,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-130766982,1,130766982,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130766982,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident and Sickness Policy,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,SERT-6AYQJG582/00-00/00-00/00,1,6AYQJG582/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6AYQJG582/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident Policy,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-132755515,1,132755515,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132755515,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-132122128,1,132122128,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132122128,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-133137472,1,133137472,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133137472,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident Policy (BTA),H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-132179681,1,132179681,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132179681,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident Policy (GLM),H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-132157623,1,132157623,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132157623,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Accident Policy - Artificial Means Amendment,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,SERT-6K5LHC639/00-00/00-00/00,1,6K5LHC639/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6K5LHC639/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket and Group Amendments,H21.000 Health - Other,Form,Closed - Approved,ACEH-125056129,1,125056129,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125056129,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Policy - Patient Protection,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-126627746,1,126627746,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126627746,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blanket Travel Policy,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,SERT-6SZSF8542/00-00/00-00/00,1,6SZSF8542/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6SZSF8542/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Blk Acc-HIV Occupational Amendment,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-125834104,1,125834104,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125834104,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Business Travel Policy,H04.000 Health - Blanket Accident/Sickness,Form,Closed - Approved,ACEH-132172842,1,132172842,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=132172842,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Chubb Logo Change,H21.000 Health - Other,Form,Closed - Filed,ACEH-130619439,1,130619439,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130619439,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Chubb Logo Change,H21.000 Health - Other,Form,Closed - Filed,ACEH-130623549,1,130623549,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130623549,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Discretionary Group Filing for Financial Institutions & Involuntary Unemployment Benefit Amendment,H02G.000 Health - Accident Only,Form,Closed - Approved,ACEH-126336197,1,126336197,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126336197,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Employer Stop Loss,H12.004 Self-Funded Health Plan,Form,Closed - Approved,ACEH-129205785,1,129205785,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129205785,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Gr5oup Limited Accident & Sickness Policy - Supplemental Amendment,H15G.002 Large Group Only,Form,Closed - Approved,SERT-6G9SCP852/00-00/00-00/00,1,6G9SCP852/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6G9SCP852/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Accident - Discretionay Group Filing,H02G.000 Health - Accident Only,Form,Closed - Approved,ACEH-127391598,1,127391598,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=127391598,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Accident Policy,H02G.000 Health - Accident Only,Form,Closed - Approved,SERT-6CSNYG867/00-00/00-00/00,1,6CSNYG867/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6CSNYG867/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Accident Policy,H02G.000 Health - Accident Only,Form,Closed - Approved,SERT-6MHTD9881/00-00/00-00/00,1,6MHTD9881/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6MHTD9881/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Dental Certificate Revision,H10G.000 Health - Dental,Form,Closed - Approved,ACEH-129956971,1,129956971,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129956971,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Dental Discretionary Group Filing - Financial Institutions,H10G.000 Health - Dental,Form,Closed - Approved,ACEH-125203924,1,125203924,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125203924,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Dental Policy,H10G.000 Health - Dental,Form,Closed - Approved,SERT-6BGL4N198/00-00/00-00/00,1,6BGL4N198/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6BGL4N198/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Disability Policy,H11G.002 Short Term,Form,Closed - Approved,SERT-6CYK2R242/00-00/00-00/00,1,6CYK2R242/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6CYK2R242/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Hospital Indemnity,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,ACEH-130619757,1,130619757,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=130619757,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Hospital Indemnity Policy,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,SERT-6NMRYU978/00-00/00-00/00,1,6NMRYU978/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6NMRYU978/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Hospital Indemnity Supplemental Amendment,H14G.000 Health - Hospital Indemnity,Form,Closed - Approved,ACEH-129561215,1,129561215,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129561215,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Limited Accident and Sickness Application/Enrollment Form (Informational Filing),H15G.002 Large Group Only,Form,Closed - Disapproved,ACEH-126366072,1,126366072,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126366072,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Limited Accident and Sickness Policy,H15G.002 Large Group Only,Form,Closed - Approved,SERT-6EQK68232/00-00/00-00/00,1,6EQK68232/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=6EQK68232/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Occupational Accident for Independent Contractors,H02G.000 Health - Accident Only,Form,Closed - Approved,ACEH-128299026,1,128299026,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=128299026,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense,H25G.001 Any Size Group,Form,Closed - Approved,ACEH-131981098,1,131981098,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131981098,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense,H25G.001 Any Size Group,Form,Closed - Approved,ACEH-134701678,1,134701678,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=134701678,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Insurance,H15G.001 Any Size Group,Form,Closed - Approved,ACEH-131440602,1,131440602,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131440602,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Supplemental Medical Expense Product,H15G.001 Any Size Group,Form,Closed - Approved,ACEH-129536244,1,129536244,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=129536244,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Vision Care Policy,H20G.000 Health - Vision,Form,Closed - Approved,SERT-68KSWB334/00-00/00-00/00,1,68KSWB334/00,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=68KSWB334/00,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Group Vision Insurance Policy (AH-49418),H20G.000 Health - Vision,Form,Closed - Approved,ACEH-131373012,1,131373012,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=131373012,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Ind Acc Notice of Rate Increase Rider,H03I.000 Health - Accidental Death & Dismemberment,Form,Closed - Approved,ACEH-126548372,1,126548372,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126548372,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,IND AD&D - 2006,H03I.000 Health - Accidental Death & Dismemberment,Form/Rate,Closed - Disapproved,ACEH-125034781,1,125034781,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125034781,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,IND AD&D - 2007,H03I.000 Health - Accidental Death & Dismemberment,Form/Rate,Closed - Approved,ACEH-125150907,1,125150907,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125150907,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Ind Den Notice of Rate Increase Rider,H10I.000 Health - Dental,Form,Closed - Approved,ACEH-126548595,1,126548595,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126548595,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Ind GLM Notice of Rate Increase Rider,H19I.000 Health - Travel,Form,Closed - Approved,ACEH-126548619,1,126548619,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=126548619,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,INDGLM-SD,H19I.000 Health - Travel,Form/Rate,Closed - Approved,ACEH-125155789,1,125155789,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125155789,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Individual Accident,H02I.000 Health - Accident Only,Form,Closed - Approved,ACEH-133401789,1,133401789,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=133401789,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
ACE American Insurance Company,22667.0,Individual Dental 2007,H10I.000 Health - Dental,Form/Rate,Closed - Approved,ACEH-125362497,1,125362497,SD,https://filingaccess.serff.com/sfa/search/filingSummary.xhtml?filingId=125362497,True,https://filingaccess.serff.com/sfa/home/SD,[],,[]
